City,Nr.,Borough,Neighbourhood,Address,location,point,latitude,longitude,altitude
Vienna,1.0,Innere Stadt,Innere Stadt,"Innere Stadt, Vienna","KG Innere Stadt, Innere Stadt, Wien, 1010, Österreich","(48.2090229, 16.36985112569659, 0.0)",48.2090229,16.36985112569659,0.0
Vienna,2.0,Leopoldstadt,Jägerzeile,"Jägerzeile, Vienna","Jägerzeile, KG Leopoldstadt, Leopoldstadt, Wien, 1020, Österreich","(48.2166064, 16.3894325, 0.0)",48.2166064,16.3894325,0.0
Vienna,2.0,Leopoldstadt,Leopoldstadt,"Leopoldstadt, Vienna","KG Leopoldstadt, Leopoldstadt, Wien, 1020, Österreich","(48.2006384, 16.42694811887545, 0.0)",48.2006384,16.42694811887545,0.0
Vienna,2.0,Leopoldstadt,Zwischenbrücken,"Zwischenbrücken, Vienna","Zwischenbrücken, Brigittenau, Wien, 1200, Österreich","(48.2348212, 16.3866013, 0.0)",48.2348212,16.3866013,0.0
Vienna,3.0,Landstraße,Landstraße,"Landstraße, Vienna","Landstraße, Wien, 1030, Österreich","(48.193643550000004, 16.39628639135705, 0.0)",48.193643550000004,16.39628639135705,0.0
Vienna,3.0,Landstraße,Erdberg,"Erdberg, Vienna","Erdberg, Südosttangente, Erdberger Mais, KG Landstraße, Landstraße, Wien, 1030, Österreich","(48.1914136, 16.4141569, 0.0)",48.1914136,16.4141569,0.0
Vienna,3.0,Landstraße,Weißgerberviertel,"Weißgerberviertel, Vienna","Weißgerber, KG Landstraße, Landstraße, Wien, 1030, Österreich","(48.2109115, 16.3901908, 0.0)",48.2109115,16.3901908,0.0
Vienna,4.0,Wieden,Hungelbrunn,"Hungelbrunn, Vienna","Hungelbrunn, KG Wieden, Wieden, Wien, 1040, Österreich","(48.1876488, 16.3659396, 0.0)",48.1876488,16.3659396,0.0
Vienna,4.0,Wieden,Schaumburgergrund,"Schaumburgergrund, Vienna","Schaumburgergrund, KG Wieden, Wieden, Wien, 1040, Österreich","(48.1890356, 16.3682893, 0.0)",48.1890356,16.3682893,0.0
Vienna,4.0,Wieden,Wieden,"Wieden, Vienna","Wieden, Wien, 1040, Österreich","(48.192314350000004, 16.371367094176243, 0.0)",48.192314350000004,16.371367094176243,0.0
