City,Neighbourhood,Address,location,point,latitude,longitude,altitude
Amsterdam,Amsteldorp,"Amsteldorp, Amsterdam","Huisarts Amsteldorp, Middelhoffstraat, Frankendael, Oost, Amsterdam, Noord-Holland, Nederland, 1097NE, Nederland","(52.3443384, 4.9220313, 0.0)",52.3443384,4.9220313,0.0
Amsterdam,Amsterdam Oud-West,"Amsterdam Oud-West, Amsterdam","HEMA Amsterdam-Kinkerstraat, 313, Kinkerstraat, Van Lennepbuurt, West, Amsterdam, Noord-Holland, Nederland, 1053EV, Nederland","(52.3647387, 4.8630105, 0.0)",52.3647387,4.8630105,0.0
Amsterdam,Amsterdam Oud-Zuid,"Amsterdam Oud-Zuid, Amsterdam","Amsterdam-Oud Zuid, Ringweg-Zuid, Zuidas, Zuid, Amsterdam, Noord-Holland, Nederland, 1076 EE, Nederland","(52.3391253, 4.8661853, 0.0)",52.3391253,4.8661853,0.0
Amsterdam,Amsterdam Science Park,"Amsterdam Science Park, Amsterdam","Amsterdam Science Park, Kruislaan, Watergraafsmeer, Oost, Amsterdam, Noord-Holland, Nederland, 1098SJ, Nederland","(52.352926, 4.948315, 0.0)",52.352926,4.948315,0.0
Amsterdam,Apollobuurt,"Apollobuurt, Amsterdam","Apollobuurt, Zuid, Amsterdam, Noord-Holland, Nederland","(52.348072599999995, 4.875559011765657, 0.0)",52.348072599999995,4.875559011765657,0.0
Amsterdam,Betondorp,"Betondorp, Amsterdam","Betondorp, Amsterdam, Noord-Holland, Nederland","(52.3404033, 4.9431701, 0.0)",52.3404033,4.9431701,0.0
Amsterdam,Bijlmermeer,"Bijlmermeer, Amsterdam","Bijlmer, Zuidoost, Amsterdam, Noord-Holland, Nederland, 1104MG, Nederland","(52.3170328, 4.9649907, 0.0)",52.3170328,4.9649907,0.0
Amsterdam,Binnenstad ,"Binnenstad , Amsterdam","Fest Amsterdam, 12, Lange Jansstraat, Binnenstad, Utrecht, Nederland, 3512BB, Nederland","(52.0936216, 5.1196904, 0.0)",52.0936216,5.1196904,0.0
Amsterdam,Bos en Lommer,"Bos en Lommer, Amsterdam","Bos en Lommer, Bosleeuw, Amsterdam, Noord-Holland, Nederland, 1055DZ, Nederland","(52.3785206, 4.8487385, 0.0)",52.3785206,4.8487385,0.0
Amsterdam,Buiksloot,"Buiksloot, Amsterdam","Tuindorp Buiksloot, Noord, Amsterdam, Noord-Holland, Nederland","(52.39256175, 4.929278957446687, 0.0)",52.39256175,4.929278957446687,0.0
