City,Nr.,Borough,Neighbourhood,Address,location,point,latitude,longitude,altitude
Berlin,1,Mitte, Mitte," Mitte, Berlin","Mitte, Berlin, Deutschland","(52.5178855, 13.4040601, 0.0)",52.5178855,13.4040601,0.0
Berlin,1,Mitte, Moabit," Moabit, Berlin","Moabit, Mitte, Berlin, Deutschland","(52.5301017, 13.3425422, 0.0)",52.5301017,13.3425422,0.0
Berlin,1,Mitte, Hansaviertel," Hansaviertel, Berlin","Hansaviertel, Mitte, Berlin, 10557, Deutschland","(52.5191234, 13.3418725, 0.0)",52.5191234,13.3418725,0.0
Berlin,1,Mitte, Tiergarten," Tiergarten, Berlin","Tiergarten, Mitte, Berlin, Deutschland","(52.5097776, 13.3572597, 0.0)",52.5097776,13.3572597,0.0
Berlin,1,Mitte, Wedding," Wedding, Berlin","Wedding, Mitte, Berlin, Deutschland","(52.550123, 13.34197, 0.0)",52.550123,13.34197,0.0
Berlin,1,Mitte, Gesundbrunnen," Gesundbrunnen, Berlin","Gesundbrunnen, Mitte, Berlin, Deutschland","(52.5509201, 13.384846, 0.0)",52.5509201,13.384846,0.0
Berlin,2,Friedrichshain-Kreuzberg, Friedrichshain," Friedrichshain, Berlin","Friedrichshain, Friedrichshain-Kreuzberg, Berlin, Deutschland","(52.5122154, 13.4502904, 0.0)",52.5122154,13.4502904,0.0
Berlin,2,Friedrichshain-Kreuzberg, Kreuzberg," Kreuzberg, Berlin","Kreuzberg, Friedrichshain-Kreuzberg, Berlin, Deutschland","(52.4976443, 13.411914, 0.0)",52.4976443,13.411914,0.0
Berlin,3,Pankow, Prenzlauer Berg," Prenzlauer Berg, Berlin","Prenzlauer Berg, Pankow, Berlin, Deutschland","(52.5398466, 13.4285652, 0.0)",52.5398466,13.4285652,0.0
Berlin,3,Pankow, Weißensee," Weißensee, Berlin","Weißensee, Pankow, Berlin, Deutschland","(52.5546193, 13.4630018, 0.0)",52.5546193,13.4630018,0.0
Berlin,3,Pankow, Blankenburg," Blankenburg, Berlin","Blankenburg, Pankow, Berlin, 13129, Deutschland","(52.593211, 13.4541825, 0.0)",52.593211,13.4541825,0.0
Berlin,3,Pankow, Heinersdorf," Heinersdorf, Berlin","Heinersdorf, Pankow, Berlin, 13089, Deutschland","(52.5728248, 13.4370149, 0.0)",52.5728248,13.4370149,0.0
Berlin,3,Pankow, Karow," Karow, Berlin","Karow, Pankow, Berlin, 13125, Deutschland","(52.6150868, 13.4862758, 0.0)",52.6150868,13.4862758,0.0
Berlin,3,Pankow, Stadtrandsiedlung Malchow," Stadtrandsiedlung Malchow, Berlin","Stadtrandsiedlung Malchow, Pankow, Berlin, Deutschland","(52.5710194, 13.4632849, 0.0)",52.5710194,13.4632849,0.0
