City,Borough number,Borough,Neighbourhood,Address,location,point,latitude,longitude,altitude
Madrid,1.0,Centro,Palacio ,"Palacio , Madrid","Palacio, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España","(40.41512925, -3.7156179983990922, 0.0)",40.41512925,-3.7156179983990922,0.0
Madrid,1.0,Centro,Embajadores ,"Embajadores , Madrid","Embajadores, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España","(40.409680550000004, -3.701644426413222, 0.0)",40.409680550000004,-3.701644426413222,0.0
Madrid,1.0,Centro,Cortes ,"Cortes , Madrid","Cortes, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España","(40.4143476, -3.6985251827738512, 0.0)",40.4143476,-3.6985251827738512,0.0
Madrid,1.0,Centro,Justicia ,"Justicia , Madrid","Justicia, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España","(40.42395689999999, -3.6957473208550464, 0.0)",40.42395689999999,-3.6957473208550464,0.0
Madrid,1.0,Centro,Universidad ,"Universidad , Madrid","Universidad, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España","(40.425310350000004, -3.706629859074133, 0.0)",40.425310350000004,-3.706629859074133,0.0
Madrid,1.0,Centro,Sol ,"Sol , Madrid","Sol, Calle de la Montera, Sol, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28013, España","(40.4178272, -3.702222089915074, 0.0)",40.4178272,-3.702222089915074,0.0
Madrid,2.0,Arganzuela,Imperial ,"Imperial , Madrid","Imperial, Arganzuela, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España","(40.4069288, -3.71732197218085, 0.0)",40.4069288,-3.71732197218085,0.0
Madrid,2.0,Arganzuela,Acacias ,"Acacias , Madrid","Acacias, Paseo de las Acacias, Las Acacias, Arganzuela, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28005, España","(40.4040749, -3.7059572, 0.0)",40.4040749,-3.7059572,0.0
Madrid,2.0,Arganzuela,Chopera ,"Chopera , Madrid","Chopera, Arganzuela, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España","(40.39489315, -3.6997051134630077, 0.0)",40.39489315,-3.6997051134630077,0.0
Madrid,2.0,Arganzuela,Legazpi ,"Legazpi , Madrid","Legazpi, Bypass Sur, Legazpi, Chopera, Arganzuela, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España","(40.3911717, -3.6951902, 0.0)",40.3911717,-3.6951902,0.0
Madrid,2.0,Arganzuela,Delicias ,"Delicias , Madrid","Delicias, Arganzuela, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España","(40.39729215, -3.6894948496947286, 0.0)",40.39729215,-3.6894948496947286,0.0
Madrid,2.0,Arganzuela,Palos de Moguer ,"Palos de Moguer , Madrid","Palos de Moguer, Arganzuela, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España","(40.40363845, -3.6952890284051163, 0.0)",40.40363845,-3.6952890284051163,0.0
Madrid,2.0,Arganzuela,Atocha ,"Atocha , Madrid","Atocha-Cercanías, Avenida de la Ciudad de Barcelona, Atocha, Arganzuela, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28007, España","(40.4052036, -3.6879295943334167, 0.0)",40.4052036,-3.6879295943334167,0.0
Madrid,3.0,Retiro,Pacífico ,"Pacífico , Madrid","Pacífico, Calle del Doctor Esquerdo, Pacífico, Retiro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28007, España","(40.4013961, -3.6748832, 0.0)",40.4013961,-3.6748832,0.0
Madrid,3.0,Retiro,Adelfas ,"Adelfas , Madrid","Adelfas, Retiro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España","(40.4019026, -3.6709579, 0.0)",40.4019026,-3.6709579,0.0
Madrid,3.0,Retiro,Estrella ,"Estrella , Madrid","Estrella, Retiro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España","(40.4117618, -3.6669977, 0.0)",40.4117618,-3.6669977,0.0
